source_key,cds_label_guess,track_type,member_index,point_count,min_fhr,max_fhr,fhr_interval_counts,first_time_utc,last_time_utc,first_lat,first_lon,last_lat,last_lon,first_mslp_hpa,last_mslp_hpa,first_vmax_kt_inferred,last_vmax_kt_inferred,members_first,members_last,use_tags,has_interp,has_cone_or_spread,fields
aifs_ens_mean,ECMWF AIFS EPS,mean,,35,0,204,6h:34,2026080400,2026081212,25.11,142.95,36.73,123.59,960.52,987.22,74.4,30.26,50,23,track_det|mslp,False,False,fhr|lat|lon|members|mslp|vmax|time|use
eps_mean,ECMWF EPS,mean,,41,0,240,6h:40,2026080400,2026081400,25.2,143.2,34.34,120.3,959.3,985.73,78.48,32.68,50,34,,False,False,fhr|lat|lon|members|mslp|vmax|time
gefs_mean,GFS EPS,mean,,41,0,240,6h:40,2026080400,2026081400,25.2,143.08,41.77,118.3,945.32,989.09,82.58,27.78,31,23,,False,False,fhr|lat|lon|members|mslp|vmax|time
icon_ens_mean,ICON EPS,mean,,31,0,180,6h:30,2026080400,2026081112,25.09,143.0,35.29,123.4,939.15,959.03,76.1,46.35,40,34,track_det|mslp,False,False,fhr|lat|lon|members|mslp|vmax|time|use
ens,PolarWX ENS,grand_mean,,41,0,240,6h:40,2026080400,2026081400,25.17,143.14,36.22,121.47,956.6274509803922,987.7013513513513,75.95098039215686,30.589041095890412,102,74,,False,True,ellipse_lat|ellipse_lon|fhr|lat|lon|members|mslp|vmax|use|time|generated
grand_ens,PolarWX GRAND ENS,grand_mean,,41,0,240,6h:40,2026080400,2026081400,25.14,143.08,37.19,121.13,954.04,989.16,82.28,31.64,297,120,,False,True,fhr|lat|lon|members|mslp|vmax|use|time|suite_membership|cone|cone_25|spread|local_time|generated
cmc_0,CMC EPS,member,0,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,25.7,126.1,968,988,56.0,30.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_1,CMC EPS,member,1,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,36.9,141.6,968,994,59.0,25.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_2,CMC EPS,member,2,41,0,240,6h:40,2026080400,2026081400,25.1,142.7,30.1,122.6,968,989,59.0,30.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_3,CMC EPS,member,3,38,0,222,6h:37,2026080400,2026081306,25.2,143.2,24.9,118.5,965,995,67.0,18.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_4,CMC EPS,member,4,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,25.9,136.1,970,983,65.0,36.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_5,CMC EPS,member,5,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,47.9,128.0,967,1000,55.0,13.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_6,CMC EPS,member,6,41,0,240,6h:40,2026080400,2026081400,25.0,143.0,31.6,127.1,969,987,54.0,32.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_7,CMC EPS,member,7,41,0,240,6h:40,2026080400,2026081400,25.1,143.1,36.4,122.1,966,992,63.0,32.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_8,CMC EPS,member,8,41,0,240,6h:40,2026080400,2026081400,25.1,143.0,29.1,140.1,963,983,60.0,33.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_9,CMC EPS,member,9,33,0,192,6h:32,2026080400,2026081200,25.1,142.7,25.0,114.6,969,996,54.0,12.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_10,CMC EPS,member,10,41,0,240,6h:40,2026080400,2026081400,25.1,143.2,36.0,118.0,968,999,63.0,27.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_11,CMC EPS,member,11,41,0,240,6h:40,2026080400,2026081400,25.1,143.1,28.1,130.3,965,978,64.0,46.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_12,CMC EPS,member,12,41,0,240,6h:40,2026080400,2026081400,25.1,143.1,31.7,135.3,969,984,59.0,31.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_13,CMC EPS,member,13,37,0,216,6h:36,2026080400,2026081300,25.1,142.9,23.2,109.5,967,1004,61.0,10.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_14,CMC EPS,member,14,41,0,240,6h:40,2026080400,2026081400,25.0,143.1,31.1,132.6,967,992,58.0,22.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_15,CMC EPS,member,15,41,0,240,6h:40,2026080400,2026081400,25.1,143.2,35.1,126.9,964,982,62.0,38.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_16,CMC EPS,member,16,34,0,198,6h:33,2026080400,2026081206,25.2,143.1,25.2,115.4,968,995,55.0,14.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_17,CMC EPS,member,17,41,0,240,6h:40,2026080400,2026081400,25.2,143.3,25.3,114.7,965,1003,71.0,,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_18,CMC EPS,member,18,41,0,240,6h:40,2026080400,2026081400,25.1,143.2,28.7,123.8,968,990,59.0,37.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_19,CMC EPS,member,19,41,0,240,6h:40,2026080400,2026081400,25.1,143.3,36.3,126.1,969,992,58.0,25.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
cmc_20,CMC EPS,member,20,41,0,240,6h:40,2026080400,2026081400,25.0,143.1,36.3,126.2,963,990,61.0,26.0,,,,False,False,fhr|lat|lon|mslp|vmax|time
deepmind_0,DeepMind,member,0,35,0,204,6h:34,2026080400,2026081212,25.1,143.2,36.8,117.9,947,995,99,25,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_1,DeepMind,member,1,35,0,204,6h:34,2026080400,2026081212,25.1,143.2,45.2,124.6,947,989,99,29,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_2,DeepMind,member,2,36,0,210,6h:35,2026080400,2026081218,25.1,143.2,39.2,122.5,947,991,99,30,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_3,DeepMind,member,3,31,0,180,6h:30,2026080400,2026081112,25.1,143.2,29.2,114.1,947,994,99,23,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_4,DeepMind,member,4,38,0,222,6h:37,2026080400,2026081306,25.1,143.2,34.1,117.8,947,996,99,19,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_5,DeepMind,member,5,40,0,234,6h:39,2026080400,2026081318,25.1,143.2,41.4,128.1,947,997,99,34,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_6,DeepMind,member,6,35,0,204,6h:34,2026080400,2026081212,25.1,143.2,24.3,111.7,947,997,99,31,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_7,DeepMind,member,7,36,0,210,6h:35,2026080400,2026081218,25.1,143.2,41.3,119.7,947,996,99,32,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_8,DeepMind,member,8,38,0,222,6h:37,2026080400,2026081306,25.1,143.2,39.8,119.2,947,987,99,27,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_9,DeepMind,member,9,37,0,216,6h:36,2026080400,2026081300,25.1,143.2,48.4,120.3,947,995,99,27,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
deepmind_10,DeepMind,member,10,51,0,300,6h:50,2026080400,2026081612,25.1,143.2,37.28,124.51,947,992,99,28,,,track_det|mslp|wind,False,False,fhr|lat|lon|mslp|vmax|time|use
